no,jenis_ikan,nama_ikan,lokasi,total_kg
49,Pelagis Besar,Tuna Sirip Kuning,Sukahujan,1112
JUMLAH,,,Sukahujan,51248
1,Demersal,Ayam-ayam,Cipunaga,1211
2,Pelagis Besar,Bawal Laut,Cipunaga,176
3,Pelagis Besar,Cakalang,Cipunaga,6742
4,Pelagis Kecil,Cendro,Cipunaga,1313
5,Karang (Reef-Associated),Ekor Kuning,Cipunaga,2099
6,Demersal,Gabus Laut,Cipunaga,998
7,Demersal,Gerot-gerot,Cipunaga,3119
8,Demersal,Golok-golok,Cipunaga,962
9,Demersal,Gulamah,Cipunaga,2321
10,Demersal / Karang,Kakap,Cipunaga,242
11,Demersal / Karang,Kakap Batu,Cipunaga,130
12,Demersal / Karang,Kakap Jenaha,Cipunaga,282
13,Demersal / Karang,Kakap Merah,Cipunaga,334
14,Demersal,Kapas-kapas,Cipunaga,2403
15,Pelagis Kecil,Kembung Lelaki,Cipunaga,2270
16,Pelagis Kecil,Kembung Perempuan,Cipunaga,2101
17,Karang (Reef-Associated),Kerapu,Cipunaga,313
18,Demersal,Kuniran,Cipunaga,1475
19,Demersal,Kurisi,Cipunaga,1904
20,Pelagis Kecil / Semi-Demersal,Kuro,Cipunaga,4397
21,Pelagis Besar,Kuwe,Cipunaga,1564
22,Pelagis Besar,Kuwe Gerong,Cipunaga,320
23,Pelagis Kecil,Layang,Cipunaga,777
24,Pelagis Besar,Layaran,Cipunaga,187
25,Demersal (Benthopelagis),Layur,Cipunaga,13616
26,Pelagis Besar,Lemadang,Cipunaga,4694
27,Karang (Reef-Associated),Lencam,Cipunaga,187
28,Demersal,Manyung,Cipunaga,477
29,Pelagis Besar,Marlin,Cipunaga,364
30,Pelagis Besar,Nyunglas,Cipunaga,138
31,Demersal (Elasmobranch),Pari,Cipunaga,538
32,Pelagis Besar,Pedang,Cipunaga,113
33,Pelagis Kecil / Semi-Demersal,Peperek,Cipunaga,2528
34,Karang (Reef-Associated),Pinjalo,Cipunaga,178
35,Pelagis Kecil,Pisang-pisang,Cipunaga,7639
36,Demersal (Flatfish),Sebelah,Cipunaga,777
37,Pelagis Kecil,Selar Bentong,Cipunaga,4920
38,Pelagis Kecil,Selar Kuning,Cipunaga,66
39,Karang (Reef-Associated),Swanggi,Cipunaga,718
40,Pelagis Besar,Tenggiri,Cipunaga,167
41,Pelagis Besar,Tenggiri Papan,Cipunaga,219
42,Pelagis Kecil / Semi-Demersal,Tetengkek,Cipunaga,1148
43,Pelagis Besar,Tongkol,Cipunaga,988
44,Pelagis Besar,Tongkol Abu-abu,Cipunaga,871
45,Pelagis Besar,Tongkol Banyar,Cipunaga,2028
46,Pelagis Besar,Tongkol Komo,Cipunaga,1663
47,Pelagis Besar,Tongkol Lisong,Cipunaga,1683
48,Pelagis Besar,Tuna Mata Besar,Cipunaga,27
49,Pelagis Besar,Tuna Sirip Kuning,Cipunaga,1853
JUMLAH,,,Cipunaga,85240
1,Demersal,Ayam-ayam,Panyaungan,983
2,Pelagis Besar,Bawal Laut,Panyaungan,143
3,Pelagis Besar,Cakalang,Panyaungan,5478
4,Pelagis Kecil,Cendro,Panyaungan,1064
5,Karang (Reef-Associated),Ekor Kuning,Panyaungan,1701
6,Demersal,Gabus Laut,Panyaungan,809
7,Demersal,Gerot-gerot,Panyaungan,2527
8,Demersal,Golok-golok,Panyaungan,780
9,Demersal,Gulamah,Panyaungan,1880
10,Demersal / Karang,Kakap,Panyaungan,196
11,Demersal / Karang,Kakap Batu,Panyaungan,106
12,Demersal / Karang,Kakap Jenaha,Panyaungan,228
13,Demersal / Karang,Kakap Merah,Panyaungan,271
14,Demersal,Kapas-kapas,Panyaungan,1946
15,Pelagis Kecil,Kembung Lelaki,Panyaungan,1839
16,Pelagis Kecil,Kembung Perempuan,Panyaungan,1702
17,Karang (Reef-Associated),Kerapu,Panyaungan,253
18,Demersal,Kuniran,Panyaungan,1195
19,Demersal,Kurisi,Panyaungan,1543
20,Pelagis Kecil / Semi-Demersal,Kuro,Panyaungan,3562
21,Pelagis Besar,Kuwe,Panyaungan,1267
22,Pelagis Besar,Kuwe Gerong,Panyaungan,259
23,Pelagis Kecil,Layang,Panyaungan,635
24,Pelagis Besar,Layaran,Panyaungan,152
25,Demersal (Benthopelagis),Layur,Panyaungan,11030
26,Pelagis Besar,Lemadang,Panyaungan,3824
27,Karang (Reef-Associated),Lencam,Panyaungan,152
28,Demersal,Manyung,Panyaungan,386
29,Pelagis Besar,Marlin,Panyaungan,295
30,Pelagis Besar,Nyunglas,Panyaungan,112
31,Demersal (Elasmobranch),Pari,Panyaungan,436
32,Pelagis Besar,Pedang,Panyaungan,92
33,Pelagis Kecil / Semi-Demersal,Peperek,Panyaungan,2048
34,Karang (Reef-Associated),Pinjalo,Panyaungan,144
35,Pelagis Kecil,Pisang-pisang,Panyaungan,6187
36,Demersal (Flatfish),Sebelah,Panyaungan,629
37,Pelagis Kecil,Selar Bentong,Panyaungan,3988
38,Pelagis Kecil,Selar Kuning,Panyaungan,54
39,Karang (Reef-Associated),Swanggi,Panyaungan,582
40,Pelagis Besar,Tenggiri,Panyaungan,135
