jenis_ikan,nama_ikan,tahun,bulan,total_kg_x,tanggal,no,lokasi,total_kg_y,jenis_alat_tangkap
Pelagis Besar,Tuna Sirip Kuning,2021,6,106750,2021-01-06,49,Citarate,1038.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tuna Sirip Kuning,2021,6,106750,2021-01-06,49,Citarate,1038.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tuna Sirip Kuning,2021,6,106750,2021-01-06,49,Citarate,1038.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tuna Sirip Kuning,2021,6,106750,2021-01-06,49,Cibareno,1557.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tuna Sirip Kuning,2021,6,106750,2021-01-06,49,Cibareno,1557.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tuna Sirip Kuning,2021,6,106750,2021-01-06,49,Cibareno,1557.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Binuangeun,31973.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Binuangeun,31973.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Binuangeun,31973.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Tanjungpanto,7.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Tanjungpanto,7.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Tanjungpanto,7.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Sukahujan,16.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Sukahujan,16.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Sukahujan,16.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Cipunaga,27.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Cipunaga,27.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Cipunaga,27.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Panyaungan,22.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Panyaungan,22.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Panyaungan,22.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Situregen,25.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Situregen,25.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Situregen,25.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Bayah,140.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Bayah,140.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Bayah,140.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Pulomanuk,43.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Pulomanuk,43.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Pulomanuk,43.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Sawarna,27.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Sawarna,27.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Sawarna,27.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Citarate,15.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Citarate,15.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Citarate,15.0,Rawai Tuna (Tuna Longline)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Cibareno,23.0,Jaring Insang Hanyut (Drift Gillnet)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Cibareno,23.0,Pancing Layang-Layang (Kite Line Fishing)
Pelagis Besar,Tuna Mata Besar,2021,6,1150,2021-01-06,48,Cibareno,23.0,Rawai Tuna (Tuna Longline)
Pelagis Kecil,Teri,2021,6,0,2021-01-06,,Unknown,0.0,Unknown
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Binuangeun,296080.0,Pukat Cicin Grup
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Binuangeun,296080.0,Payang
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Tanjungpanto,212.0,Pukat Cicin Grup
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Tanjungpanto,212.0,Payang
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Sukahujan,476.0,Pukat Cicin Grup
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Sukahujan,476.0,Payang
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Cipunaga,777.0,Pukat Cicin Grup
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Cipunaga,777.0,Payang
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Panyaungan,635.0,Pukat Cicin Grup
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Panyaungan,635.0,Payang
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Situregen,708.0,Pukat Cicin Grup
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Situregen,708.0,Payang
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Bayah,4988.0,Pukat Cicin Grup
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Bayah,4988.0,Payang
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Pulomanuk,1207.0,Pukat Cicin Grup
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Pulomanuk,1207.0,Payang
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Sawarna,777.0,Pukat Cicin Grup
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Sawarna,777.0,Payang
Pelagis Kecil,Layang,2021,6,21250,2021-01-06,23,Citarate,413.0,Pukat Cicin Grup
