jenis_ikan,nama_ikan,tahun,bulan,total_kg,tanggal
Demersal,Kuniran/biji nangka,2019,5,288,2019-01-05
Pelagis Besar,Alu Alu/baracuda,2019,5,480,2019-01-05
Karang (Reef-Associated),Ayam ayam,2019,5,768,2019-01-05
Pelagis Besar,Bawal laut,2019,5,1344,2019-01-05
Pelagis Kecil,Bentong,2019,5,1440,2019-01-05
Demersal,Cucut,2019,5,2240,2019-01-05
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,2019,5,3552,2019-01-05
Demersal,Golok golok,2019,5,1184,2019-01-05
Pelagis Besar,Cakalang,2019,5,190976,2019-01-05
Pelagis Besar,ikan pedang,2019,5,800,2019-01-05
Demersal,Ikan sebelah,2019,5,576,2019-01-05
Pelagis Kecil,Japuh,2019,5,1088,2019-01-05
Karang (Reef-Associated),Jenaha,2019,5,352,2019-01-05
Karang (Reef-Associated),Kakap Merah,2019,5,3136,2019-01-05
Pelagis Kecil,Kapas kapas,2019,5,4224,2019-01-05
Pelagis Kecil,Kembung,2019,5,1504,2019-01-05
Demersal,Gulamah/Tigawaja/Samgeh,2019,5,1088,2019-01-05
Karang (Reef-Associated),Kerapu,2019,5,768,2019-01-05
Pelagis Kecil,Peperek,2019,6,384,2019-01-06
Demersal,Pari,2019,6,992,2019-01-06
Pelagis Besar,Marlin,2019,6,416,2019-01-06
Pelagis Besar,layaran,2019,6,8704,2019-01-06
Pelagis Besar,Lemadang,2019,6,185216,2019-01-06
Pelagis Kecil,Layur,2019,6,49024,2019-01-06
Pelagis Besar,Swanggi,2019,6,672,2019-01-06
Demersal,Manyung,2019,6,8064,2019-01-06
Pelagis Kecil,Selar,2019,6,10304,2019-01-06
jumlah,,2019,6,3521984,2019-01-06
Pelagis Kecil,Tembang,2019,6,1120,2019-01-06
Pelagis Besar,Tenggiri,2019,6,3392,2019-01-06
Pelagis Kecil,Tetengkek,2019,6,704,2019-01-06
Pelagis Besar,Tongkol,2019,6,28928,2019-01-06
Pelagis Besar,Tuna Sirip Kuning,2019,6,96320,2019-01-06
