nama_ikan,ds,y
Cakalang,2024-01-07,112376
Cakalang,2024-01-08,130443
Cakalang,2024-01-09,132745
Cakalang,2024-01-10,105071
Cakalang,2024-01-11,107169
Cakalang,2024-01-12,105930
Cendro,2022-01-01,10692
Cendro,2022-01-02,826
Cendro,2022-01-03,18711
Cendro,2022-01-04,17226
Cendro,2022-01-05,1776
Cendro,2022-01-06,1555
Cendro,2022-01-08,348
Cendro,2022-01-09,6272
Cendro,2022-01-10,6050
Cendro,2022-01-11,2900
Cendro,2022-01-12,2000
Cendro,2023-01-01,3198
Cendro,2023-01-02,2627
Cendro,2023-01-03,1476
Cendro,2023-01-04,6273
Cendro,2023-01-05,37024
Cendro,2023-01-07,28446
Cendro,2023-01-08,40986
Cendro,2023-01-09,26624
Cendro,2024-01-01,4419
Cendro,2024-01-02,3075
Cendro,2024-01-03,3308
Cendro,2024-01-04,1999
Cendro,2024-01-05,3440
Cendro,2024-01-06,2030
Cendro,2024-01-07,1216
Cendro,2024-01-08,3318
Cendro,2024-01-09,3661
Cendro,2024-01-10,6846
Cendro,2024-01-11,3577
Cendro,2024-01-12,3527
Cucut,2019-01-01,1225
Cucut,2019-01-02,525
Cucut,2019-01-03,700
Cucut,2019-01-04,1120
Cucut,2019-01-06,384
Cucut,2019-01-07,240
Cucut,2019-01-08,300
Cucut,2019-01-09,300
Cucut,2019-01-10,360
Cucut,2019-01-11,600
Cucut,2019-01-12,0
Cucut,2020-01-01,626
Cucut,2020-01-02,598
Cucut,2020-01-03,789
Cucut,2020-01-04,543
Cucut,2020-01-05,469
Cucut,2020-01-06,596
Cucut,2020-01-07,732
Cucut,2020-01-08,803
Cucut,2020-01-09,626
Cucut,2020-01-10,626
Cucut,2020-01-11,626
Cucut,2020-01-12,626
Cucut,2021-01-01,121
Cucut,2021-01-02,103
Cucut,2021-01-03,94
Cucut,2021-01-04,98
Cucut,2021-01-05,109
Cucut,2021-01-06,89
Cucut,2021-01-07,120
Cucut,2021-01-08,111
Cucut,2021-01-09,102
Cucut,2021-01-10,133
Cucut,2021-01-11,164
Cucut,2021-01-12,165
Ekor Kuning,2023-01-01,7257
Ekor Kuning,2023-01-02,497
Ekor Kuning,2023-01-03,1476
Ekor Kuning,2023-01-04,12915
Ekor Kuning,2023-01-05,51976
Ekor Kuning,2023-01-06,15582
Ekor Kuning,2023-01-07,4092
Ekor Kuning,2023-01-08,2772
Ekor Kuning,2023-01-10,121072
Ekor Kuning,2023-01-11,70905
Ekor kuning,2022-01-01,1386
Ekor kuning,2022-01-02,2360
Ekor kuning,2022-01-05,1184
Ekor kuning,2022-01-06,2177
Ekor kuning,2022-01-08,1044
Ekor kuning,2022-01-09,11368
Ekor kuning,2022-01-10,6750
Ekor kuning,2022-01-11,5925
Ekor kuning,2022-01-12,1750
Ekor kuning,2024-01-01,12999
Ekor kuning,2024-01-02,10744
Ekor kuning,2024-01-03,5881
Ekor kuning,2024-01-04,3196
Ekor kuning,2024-01-05,3156
Ekor kuning,2024-01-06,2598
Ekor kuning,2024-01-07,2013
Ekor kuning,2024-01-08,2737
Ekor kuning,2024-01-09,4211
Ekor kuning,2024-01-10,3353
Ekor kuning,2024-01-11,2819
Ekor kuning,2024-01-12,2784
Ekor kuning/Pisang-pisang/sunglir/salem,2019-01-02,15540
Ekor kuning/Pisang-pisang/sunglir/salem,2019-01-03,4620
Ekor kuning/Pisang-pisang/sunglir/salem,2019-01-05,3552
Ekor kuning/Pisang-pisang/sunglir/salem,2019-01-06,2144
Ekor kuning/Pisang-pisang/sunglir/salem,2019-01-07,4164
Ekor kuning/Pisang-pisang/sunglir/salem,2019-01-08,4350
Ekor kuning/Pisang-pisang/sunglir/salem,2019-01-09,8400
Ekor kuning/Pisang-pisang/sunglir/salem,2019-01-10,5490
Ekor kuning/Pisang-pisang/sunglir/salem,2019-01-11,6900
Ekor kuning/Pisang-pisang/sunglir/salem,2019-01-12,4565
Ekor kuning/Pisang-pisang/sunglir/salem,2020-01-01,3345
Ekor kuning/Pisang-pisang/sunglir/salem,2020-01-02,3506
Ekor kuning/Pisang-pisang/sunglir/salem,2020-01-03,2986
Ekor kuning/Pisang-pisang/sunglir/salem,2020-01-04,2886
Ekor kuning/Pisang-pisang/sunglir/salem,2020-01-05,3560
